<<<<<<< HEAD
timestamp,event,occupation,location,session_id
2026-01-07T12:07:36,start,Industry,Aalborg,016d28f3-4437-488b-bbc8-ce0d31740ae6
2026-01-12T16:46:42,start,PhD student,Aalborg,599583e5-ee34-438e-9b3f-ba48aa9adfe5
2026-01-12T17:07:04,start,Research assistant,Aalborg,bf5ce0df-f7db-466e-95a9-5ec8b724d51e
2026-01-12T17:08:28,start,Research assistant,Aalborg,e50b2c79-d2a6-4f16-9e3e-058d9a170917
2026-01-12T17:10:26,start,Postdoc,Aalborg,82a65446-dab4-42eb-923c-20e2be0b9b84
2026-01-12T17:21:06,start,Research assistant,Aalborg,69f20c20-a482-49b2-afa2-e506aa34a0f1
2026-01-13T09:50:17,start,Research assistant,Aalborg,73ada556-7924-4d25-84cd-e390d0cf9787
2026-01-13T13:43:55,start,Master student,Aalborg,3764e7a7-41cd-4037-aade-07a11c8cdda6
2026-01-13T13:45:13,start,PhD student,Aalborg,f0dc8943-f8e4-4d9a-be63-619d1ff6c519
2026-01-13T14:36:31,start,Research assistant,Aalborg,beaa0cc4-daa0-465d-a5fe-ff4dc8aedf9a
2026-01-13T14:56:11,start,Research assistant,Aalborg,9f182a86-328a-4ca2-a74e-b7a408d18739
2026-01-14T09:49:57,start,PhD student,Aalborg,ec75b230-d8ca-4135-8492-12ce705dc236
2026-01-14T10:12:59,start,Master student,Aalborg,e521b7f3-3015-44c7-8a0d-7f2595d86576
2026-01-14T10:16:24,start,PhD student,Aalborg,9bb648de-0e91-4117-8fab-58eb2a5313db
2026-01-14T10:22:54,start,PhD student,Aalborg,6d595dd8-69a6-44b3-9cdb-47b243f08d95
2026-01-14T10:27:52,start,PhD student,Aalborg,3e22ba60-cd45-4098-9a3e-b2d8f09efed1
2026-01-14T10:39:14,start,Master student,Aalborg,73909300-06ea-4277-a248-272c155912e2
2026-01-14T11:07:40,start,Master student,Aalborg,d8715538-529c-498d-9b8c-7138082f999d
2026-01-14T14:06:10,start,Research assistant,Aalborg,75c85afb-407b-4d20-b924-94c124d71ef9
2026-01-14T14:07:39,start,Postdoc,Aalborg,d5626c76-435b-45ac-84ed-1f95f3556192
